===============================================================
Gobuster v3.5
by OJ Reeves (@TheColonial) & Christian Mehlmauer (@firefart)
===============================================================
[+] Url:                     https://www.geeksforgeeks.org/backups
[+] Method:                  GET
[+] Threads:                 20
[+] Wordlist:                /home/kali/Downloads/SecLists-master/Discovery/Web-Content/common.txt
[+] Negative Status codes:   301,404
[+] Exclude Length:          335,334
[+] User Agent:              gobuster/3.5
[+] Extensions:              txt
[+] Expanded:                true
[+] Timeout:                 10s
===============================================================
2023/08/27 08:48:48 Starting gobuster in directory enumeration mode
===============================================================
[2Khttps://www.geeksforgeeks.org/backups/.web.txt             (Status: 403) [Size: 298]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/acme-challenge.txt (Status: 403) [Size: 332]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/apple-developer-merchantid-domain-association.txt (Status: 403) [Size: 376]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/apple-developer-merchantid-domain-association (Status: 403) [Size: 367]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/ashrae   (Status: 403) [Size: 313]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/assetlinks.json (Status: 403) [Size: 325]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/ashrae.txt (Status: 403) [Size: 321]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/browserid.txt (Status: 403) [Size: 323]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/browserid (Status: 403) [Size: 316]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/apple-app-site-association.txt (Status: 403) [Size: 352]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/caldav.txt (Status: 403) [Size: 320]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/change-password (Status: 403) [Size: 326]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/caldav   (Status: 403) [Size: 312]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/autoconfig/mail (Status: 403) [Size: 326]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/change-password.txt (Status: 403) [Size: 333]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/carddav  (Status: 403) [Size: 313]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/coap     (Status: 403) [Size: 310]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/coap.txt (Status: 403) [Size: 318]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/carddav.txt (Status: 403) [Size: 321]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/csvm.txt (Status: 403) [Size: 319]
[2Khttps://www.geeksforgeeks.org/backups/.well-known/core     (Status: 403) [Size: 311]
